DateTime,Silver-INR,Silver-USD
02-06-1997 00:00,168.50496,4.71
03-06-1997 00:00,169.86,4.75
04-06-1997 00:00,168.69752,4.72
05-06-1997 00:00,171.5376,4.8
06-06-1997 00:00,171.5808,4.8
09-06-1997 00:00,170.14144,4.76
10-06-1997 00:00,170.11764,4.76
11-06-1997 00:00,170.25568,4.76
12-06-1997 00:00,168.98544,4.72
13-06-1997 00:00,168.1284,4.7
16-06-1997 00:00,168.53322,4.71
17-06-1997 00:00,171.31435,4.79
18-06-1997 00:00,168.1754,4.7
19-06-1997 00:00,170.77554,4.77
20-06-1997 00:00,169.22048,4.73
23-06-1997 00:00,172.28608,4.82
24-06-1997 00:00,170.69445,4.77
25-06-1997 00:00,171.01406,4.78
26-06-1997 00:00,170.22712,4.76
27-06-1997 00:00,168.0673,4.7
30-06-1997 00:00,165.55491,4.63
01-07-1997 00:00,166.27005,4.65
02-07-1997 00:00,165.48083,4.63
03-07-1997 00:00,162.6352,4.55
04-07-1997 00:00,162.27322,4.54
07-07-1997 00:00,153.0742,4.28
08-07-1997 00:00,154.42272,4.32
09-07-1997 00:00,154.24992,4.32
10-07-1997 00:00,156.10514,4.37
11-07-1997 00:00,155.52992,4.36
14-07-1997 00:00,152.22123,4.27
15-07-1997 00:00,153.2692,4.3
16-07-1997 00:00,150.22543,4.21
17-07-1997 00:00,151.99254,4.26
18-07-1997 00:00,152.63764,4.28
21-07-1997 00:00,151.83066,4.26
22-07-1997 00:00,153.64288,4.31
23-07-1997 00:00,152.92134,4.29
24-07-1997 00:00,152.91705,4.29
25-07-1997 00:00,154.47275,4.33
28-07-1997 00:00,155.89975,4.37
29-07-1997 00:00,154.81214,4.34
30-07-1997 00:00,156.26088,4.38
31-07-1997 00:00,159.79264,4.48
01-08-1997 00:00,159.57453,4.47
04-08-1997 00:00,160.28851,4.49
05-08-1997 00:00,154.71666,4.34
06-08-1997 00:00,154.8512,4.34
07-08-1997 00:00,156.64398,4.39
08-08-1997 00:00,156.70105,4.39
11-08-1997 00:00,158.7493,4.45
12-08-1997 00:00,158.286,4.44
13-08-1997 00:00,161.26004,4.52
14-08-1997 00:00,157.76748,4.42
15-08-1997 00:00,163.22669,4.57
18-08-1997 00:00,161.26004,4.52
19-08-1997 00:00,161.28716,4.52
20-08-1997 00:00,161.48957,4.51
21-08-1997 00:00,163.76856,4.53
22-08-1997 00:00,168.48,4.68
25-08-1997 00:00,167.57359,4.63
26-08-1997 00:00,169.37856,4.68
27-08-1997 00:00,168.95762,4.66
28-08-1997 00:00,169.64709,4.67
29-08-1997 00:00,168.90195,4.65
01-09-1997 00:00,169.26518,4.66
02-09-1997 00:00,168.50988,4.62
03-09-1997 00:00,170.00201,4.67
04-09-1997 00:00,170.31456,4.68
05-09-1997 00:00,171.84104,4.72
08-09-1997 00:00,171.4195,4.69
09-09-1997 00:00,173.65525,4.75
10-09-1997 00:00,172.77774,4.74
11-09-1997 00:00,173.394,4.75
12-09-1997 00:00,173.23068,4.76
15-09-1997 00:00,172.51704,4.74
16-09-1997 00:00,166.73032,4.58
17-09-1997 00:00,167.57811,4.61
18-09-1997 00:00,169.4743,4.67
19-09-1997 00:00,171.36904,4.72
22-09-1997 00:00,169.65468,4.68
23-09-1997 00:00,169.75924,4.69
24-09-1997 00:00,171.99275,4.75
25-09-1997 00:00,172.5341,4.78
26-09-1997 00:00,174.00682,4.82
29-09-1997 00:00,183.98823,5.09
30-09-1997 00:00,188.28419,5.21
01-10-1997 00:00,186.26052,5.16
02-10-1997 00:00,186.36372,5.16
03-10-1997 00:00,190.59744,5.28
06-10-1997 00:00,187.98,5.2
07-10-1997 00:00,187.65483,5.19
08-10-1997 00:00,188.91806,5.23
09-10-1997 00:00,185.12384,5.12
10-10-1997 00:00,188.2608,5.2
13-10-1997 00:00,186.4506,5.15
14-10-1997 00:00,184.23255,5.09
15-10-1997 00:00,183.4326,5.07
